Unit,stats_4Ghz_1V.txt,stats_1Ghz_.8V.txt
CUs12.wavefronts11,227201,56135
CUs12.wavefronts12,223421,55364
CUs12.wavefronts13,223301,57611
CUs12.wavefronts14,0,0
CUs12.wavefronts15,0,0
CUs12.wavefronts16,0,0
CUs12.wavefronts17,0,0
CUs12.wavefronts18,0,0
CUs12.wavefronts19,0,0
CUs12.wavefronts20,228078,63256
CUs12.wavefronts21,244714,64305
CUs12.wavefronts22,244831,64641
CUs12.wavefronts23,231721,61394
CUs12.wavefronts24,0,0
CUs12.wavefronts25,0,0
CUs12.wavefronts26,0,0
CUs12.wavefronts27,0,0
CUs12.wavefronts28,0,0
CUs12.wavefronts29,0,0
CUs12.wavefronts30,232647,58730
CUs12.wavefronts31,230656,55674
CUs12.wavefronts32,230512,56793
CUs12.wavefronts33,243430,57113
CUs12.wavefronts34,0,0
CUs12.wavefronts35,0,0
CUs12.wavefronts36,0,0
CUs12.wavefronts37,0,0
CUs12.wavefronts38,0,0
CUs12.wavefronts39,0,0
CUs13.wavefronts0,229175,57117
CUs13.wavefronts1,227824,54207
CUs13.wavefronts2,223347,53471
CUs13.wavefronts3,223765,54840
CUs13.wavefronts4,0,0
CUs13.wavefronts5,0,0
CUs13.wavefronts6,0,0
CUs13.wavefronts7,0,0
CUs13.wavefronts8,0,0
CUs13.wavefronts9,0,0
CUs13.wavefronts10,232036,60800
CUs13.wavefronts11,227201,56135
CUs13.wavefronts12,223421,55364
CUs13.wavefronts13,223301,57611
CUs13.wavefronts14,0,0
CUs13.wavefronts15,0,0
CUs13.wavefronts16,0,0
CUs13.wavefronts17,0,0
CUs13.wavefronts18,0,0
CUs13.wavefronts19,0,0
CUs13.wavefronts20,228103,63251
CUs13.wavefronts21,244714,64305
CUs13.wavefronts22,244831,64641
CUs13.wavefronts23,231721,61394
CUs13.wavefronts24,0,0
CUs13.wavefronts25,0,0
CUs13.wavefronts26,0,0
CUs13.wavefronts27,0,0
CUs13.wavefronts28,0,0
CUs13.wavefronts29,0,0
CUs13.wavefronts30,232644,58725
CUs13.wavefronts31,230656,55674
CUs13.wavefronts32,230512,56793
CUs13.wavefronts33,243430,57113
CUs13.wavefronts34,0,0
CUs13.wavefronts35,0,0
CUs13.wavefronts36,0,0
CUs13.wavefronts37,0,0
CUs13.wavefronts38,0,0
CUs13.wavefronts39,0,0
CUs14.wavefronts0,229674,57105
CUs14.wavefronts1,227824,54207
CUs14.wavefronts2,223347,53471
CUs14.wavefronts3,223765,54840
CUs14.wavefronts4,0,0
CUs14.wavefronts5,0,0
CUs14.wavefronts6,0,0
CUs14.wavefronts7,0,0
CUs14.wavefronts8,0,0
CUs14.wavefronts9,0,0
CUs14.wavefronts10,232158,60915
CUs14.wavefronts11,227201,56135
CUs14.wavefronts12,223421,55364
CUs14.wavefronts13,223301,57611
CUs14.wavefronts14,0,0
CUs14.wavefronts15,0,0
CUs14.wavefronts16,0,0
CUs14.wavefronts17,0,0
CUs14.wavefronts18,0,0
CUs14.wavefronts19,0,0
CUs14.wavefronts20,228077,63251
CUs14.wavefronts21,244714,64305
CUs14.wavefronts22,244831,64641
CUs14.wavefronts23,231721,61394
CUs14.wavefronts24,0,0
CUs14.wavefronts25,0,0
CUs14.wavefronts26,0,0
CUs14.wavefronts27,0,0
CUs14.wavefronts28,0,0
CUs14.wavefronts29,0,0
CUs14.wavefronts30,232657,58724
CUs14.wavefronts31,230656,55674
CUs14.wavefronts32,230512,56793
CUs14.wavefronts33,243430,57113
CUs14.wavefronts34,0,0
CUs14.wavefronts35,0,0
CUs14.wavefronts36,0,0
CUs14.wavefronts37,0,0
CUs14.wavefronts38,0,0
CUs14.wavefronts39,0,0
CUs15.wavefronts0,227980,57607
CUs15.wavefronts1,229528,54674
CUs15.wavefronts2,225055,53935
CUs15.wavefronts3,225187,55304
