CU,clock,Cycles,IPC,IPC_delta,CPI,CPI_delta,Frequency,Voltage,EDP,ED2P,Sensitivity
11,11223111000000,333721,0.154063,,6.49086,0.0,1000000000.0,0.8,0.0,0.0,0.0
11,11223112000000,333721,0.154063,,6.49086,0.0,1000000000.0,0.8,0.0,0.0,0.0
11,11223113000000,333721,0.154063,,6.49086,0.0,1000000000.0,0.8,0.0,0.0,0.0
11,11223114000000,333721,0.154063,,6.49086,0.0,1000000000.0,0.8,0.0,0.0,0.0
11,11223115000000,333721,0.154063,,6.49086,0.0,1000000000.0,0.8,0.0,0.0,0.0
12,10205500000000,15545,0.0625281,0.0625281,15.9928,15.9928,4000000000.0,1.0,3.9982e-09,1.59856e-17,0.0
12,10205501000000,19545,0.0796112,0.146,12.5611,6.84932,4000000000.0,1.0,1.71233e-09,2.9320700000000004e-18,4.0
12,10205502000000,21514,0.072418,0.00101574,13.8087,984.5,2000000000.0,0.9,3.98723e-07,1.96271e-13,0.977955
12,11206193000000,39207,0.054276,0.0322161,18.4243,31.0404,4000000000.0,1.0,7.76009e-09,6.0219e-17,0.0
12,11206194000000,41207,0.0516417,0.0,19.3642,0.0,2000000000.0,0.9,0.0,0.0,0.815461
12,11206195000000,42207,0.0504182,0.0,19.8341,0.0,1000000000.0,0.8,0.0,0.0,9.29185e-05
12,11222906000000,44506,0.0489372,0.0217486,20.4343,45.98,1000000000.0,0.8,2.94272e-08,1.35306e-15,0.536372
12,11222907000000,48506,0.0462211,0.016,21.6351,62.5,4000000000.0,1.0,1.5625e-08,2.44141e-16,4.0
12,11222908000000,52506,0.0432141,0.00675,23.1406,148.148,4000000000.0,1.0,3.7037e-08,1.37174e-15,4.0
12,11222909000000,56506,0.0430751,0.04125,23.2153,24.2424,4000000000.0,1.0,6.06061e-09,3.67309e-17,3.18325
12,11222910000000,58506,0.0420128,0.012,23.8023,83.3333,2000000000.0,0.9,3.375e-08,1.40625e-15,1.83074
12,11222911000000,59506,0.04413,0.168,22.6603,5.95238,1000000000.0,0.8,3.80952e-09,2.26757e-17,0.861538
12,11222912000000,61506,0.0430852,0.012,23.2098,83.3333,2000000000.0,0.9,3.375e-08,1.40625e-15,1.1318
12,11222913000000,62506,0.0441878,0.112,22.6307,8.92857,1000000000.0,0.8,5.71429e-09,5.10204e-17,0.861538
12,11222914000000,66506,0.0423721,0.014,23.6004,71.4286,4000000000.0,1.0,1.78571e-08,3.18878e-16,2.52552
12,11222915000000,68506,0.0414854,0.012,24.1049,83.3333,2000000000.0,0.9,3.375e-08,1.40625e-15,1.50075
12,11222916000000,70506,0.0426914,0.084,23.4239,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,0.861538
12,11222917000000,74506,0.0407216,0.006,24.557,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.48351
12,11222918000000,76506,0.0418529,0.084,23.8932,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,0.923077
12,11222919000000,80506,0.0400715,0.006,24.9554,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.48351
12,11222920000000,82506,0.0411364,0.084,24.3094,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,0.923077
12,11222921000000,86506,0.0392343,0.0,25.4879,0.0,4000000000.0,1.0,0.0,0.0,1.48351
12,11222922000000,87506,0.0391973,0.036,25.512,27.7778,1000000000.0,0.8,1.77778e-08,4.93827e-16,2.56298e-08
12,11222923000000,89506,0.0400644,0.078,24.9598,12.8205,2000000000.0,0.9,5.19231e-09,3.3284e-17,1.04933
12,11222924000000,93506,0.0384788,0.003,25.9883,333.333,4000000000.0,1.0,8.33333e-08,6.94444e-15,1.47461
12,11222925000000,94506,0.0399763,0.18,25.0148,5.55556,1000000000.0,0.8,3.55556e-09,1.97531e-17,0.461538
12,11222926000000,98506,0.0384748,0.003,25.991,333.333,4000000000.0,1.0,8.33333e-08,6.94444e-15,1.14263
12,11222927000000,99506,0.0398971,0.18,25.0645,5.55556,1000000000.0,0.8,3.55556e-09,1.97531e-17,0.461538
12,11222928000000,103506,0.0384712,0.003,25.9935,333.333,4000000000.0,1.0,8.33333e-08,6.94444e-15,1.14263
12,11222929000000,104506,0.0383423,0.025,26.0809,40.0,1000000000.0,0.8,2.56e-08,1.024e-15,0.461538
12,11222930000000,106506,0.0390776,0.0775,25.5901,12.9032,2000000000.0,0.9,5.22581e-09,3.37149e-17,1.03076
12,11222931000000,108506,0.0385785,0.012,25.9212,83.3333,2000000000.0,0.9,3.375e-08,1.40625e-15,1.24083e-05
12,11222932000000,110506,0.0394006,0.084,25.3803,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,0.861538
12,11222933000000,114506,0.0382338,0.006,26.1549,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.48351
12,11222934000000,116506,0.0390194,0.084,25.6282,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,0.923077
