CU,perfLevel,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
9,0,12132256100000,224400,0.0784581,12.7457,8,6.25e+07,5e+08,4000000000,0.125,12.5,1
9,0,12132256200000,224800,0.0792215,12.6228,1.97044,1.03022e+09,2.03e+09,4000000000,0.5075,50.75,1
9,0,12132256300000,225200,0.079929,12.5111,2.09424,9.12025e+08,1.91e+09,4000000000,0.4775,47.75,1
9,0,12132256400000,225600,0.0804433,12.4311,2.7027,5.476e+08,1.48e+09,4000000000,0.37,37,1
9,0,12132256500000,226000,0.0804425,12.4312,12.5,2.56e+07,3.2e+08,4000000000,0.08,8,1
9,0,12132256600000,226400,0.0803004,12.4532,0,0,0,4000000000,0,0,1
9,0,12132256700000,226800,0.0801587,12.4752,0,0,0,4000000000,0,0,1
9,0,12132256800000,227200,0.0800176,12.4972,0,0,0,4000000000,0,0,1
9,0,12132256900000,227600,0.079877,12.5193,0,0,0,4000000000,0,0,1
9,0,12132257000000,228000,0.0797368,12.5413,0,0,0,4000000000,0,0,1
9,0,12132257100000,228400,0.0795972,12.5633,0,0,0,4000000000,0,0,1
9,0,12132257200000,228800,0.079458,12.5853,0,0,0,4000000000,0,0,1
9,0,12132257300000,229200,0.0793194,12.6073,0,0,0,4000000000,0,0,1
9,0,12132257400000,229600,0.0797953,12.5321,2.83688,4.97025e+08,1.41e+09,4000000000,0.3525,35.25,1
9,0,12132257500000,230000,0.0796696,12.5518,133.333,225000,3e+07,4000000000,0.0075,0.75,1
9,0,12132257600000,230400,0.0795312,12.5737,0,0,0,4000000000,0,0,1
9,0,12132257700000,230800,0.0793934,12.5955,0,0,0,4000000000,0,0,1
9,0,12132257800000,231200,0.0792561,12.6173,0,0,0,4000000000,0,0,1
9,0,12132257900000,231600,0.0791192,12.6392,0,0,0,4000000000,0,0,1
9,0,12132258000000,232000,0.0789828,12.661,0,0,0,4000000000,0,0,1
9,0,12132258100000,232400,0.0788468,12.6828,0,0,0,4000000000,0,0,1
9,0,12132258200000,232800,0.0787113,12.7046,0,0,0,4000000000,0,0,1
9,0,12132258300000,233200,0.0785763,12.7265,0,0,0,4000000000,0,0,1
9,0,12132258400000,233600,0.0785317,12.7337,19.0476,1.1025e+07,2.1e+08,4000000000,0.0525,5.25,1
9,0,12132258500000,234000,0.0790214,12.6548,2.73973,5.329e+08,1.46e+09,4000000000,0.365,36.5,1
9,0,12132258600000,234400,0.0795563,12.5697,2.54777,6.16225e+08,1.57e+09,4000000000,0.3925,39.25,1
9,0,12132258700000,234800,0.0801618,12.4748,2.29885,7.569e+08,1.74e+09,4000000000,0.435,43.5,1
9,0,12132258800000,235200,0.0805655,12.4123,3.14961,4.03225e+08,1.27e+09,4000000000,0.3175,31.75,1
9,0,12132258900000,235600,0.0804584,12.4288,57.1429,1.225e+06,7e+07,4000000000,0.0175,1.75,1
9,0,12132259000000,236000,0.080322,12.4499,0,0,0,4000000000,0,0,1
9,0,12132259100000,236400,0.0801861,12.471,0,0,0,4000000000,0,0,1
9,0,12132259200000,236800,0.0800507,12.4921,0,0,0,4000000000,0,0,1
9,0,12132259300000,237200,0.0799157,12.5132,0,0,0,4000000000,0,0,1
9,0,12132259400000,237600,0.0797811,12.5343,0,0,0,4000000000,0,0,1
9,0,12132259500000,238000,0.0796471,12.5554,0,0,0,4000000000,0,0,1
9,0,12132259600000,238400,0.0795134,12.5765,0,0,0,4000000000,0,0,1
9,0,12132259700000,238800,0.0793802,12.5976,0,0,0,4000000000,0,0,1
9,0,12132259800000,239200,0.0798662,12.5209,2.7027,5.476e+08,1.48e+09,4000000000,0.37,37,1
9,0,12132259900000,239600,0.0797329,12.5419,0,0,0,4000000000,0,0,1
9,0,12132260000000,240000,0.0796,12.5628,0,0,0,4000000000,0,0,1
9,0,12132260100000,240400,0.0794676,12.5838,0,0,0,4000000000,0,0,1
9,0,12132260200000,240800,0.0793355,12.6047,0,0,0,4000000000,0,0,1
9,0,12132260300000,241200,0.079204,12.6256,0,0,0,4000000000,0,0,1
9,0,12132260400000,241600,0.0790728,12.6466,0,0,0,4000000000,0,0,1
9,0,12132260500000,242000,0.0789421,12.6675,0,0,0,4000000000,0,0,1
9,0,12132260600000,242400,0.0788119,12.6884,0,0,0,4000000000,0,0,1
9,0,12132260700000,242800,0.078682,12.7094,0,0,0,4000000000,0,0,1
9,0,12132260800000,243200,0.078898,12.6746,4.7619,1.764e+08,8.4e+08,4000000000,0.21,21,1
9,0,12132260900000,243600,0.0794458,12.5872,2.42424,6.80625e+08,1.65e+09,4000000000,0.4125,41.25,1
9,0,12132261000000,244000,0.0798607,12.5218,3.00752,4.42225e+08,1.33e+09,4000000000,0.3325,33.25,1
9,0,12132261100000,244400,0.0802782,12.4567,2.98507,4.489e+08,1.34e+09,4000000000,0.335,33.5,1
9,0,12132261200000,244800,0.0804902,12.4239,4.7619,1.764e+08,8.4e+08,4000000000,0.21,21,1
9,0,12132261300000,245200,0.0803589,12.4442,0,0,0,4000000000,0,0,1
9,0,12132261400000,245600,0.080228,12.4645,0,0,0,4000000000,0,0,1
9,0,12132261500000,246000,0.0800976,12.4848,0,0,0,4000000000,0,0,1
9,0,12132261600000,246400,0.0799675,12.5051,0,0,0,4000000000,0,0,1
9,0,12132261700000,246800,0.0798379,12.5254,0,0,0,4000000000,0,0,1
9,0,12132261800000,247200,0.0797087,12.5457,0,0,0,4000000000,0,0,1
9,0,12132261900000,247600,0.07958,12.566,0,0,0,4000000000,0,0,1
9,0,12132262000000,248000,0.0794516,12.5863,0,0,0,4000000000,0,0,1
9,0,12132262100000,248400,0.0793881,12.5963,25,6.4e+06,1.6e+08,4000000000,0.04,4,1
9,0,12132262200000,248800,0.0798714,12.5201,2.63158,5.776e+08,1.52e+09,4000000000,0.38,38,1
9,0,12132262300000,249200,0.0797432,12.5403,0,0,0,4000000000,0,0,1
9,0,12132262400000,249600,0.0796154,12.5604,0,0,0,4000000000,0,0,1
9,0,12132262500000,250000,0.079488,12.5805,0,0,0,4000000000,0,0,1
9,0,12132262600000,250400,0.079361,12.6006,0,0,0,4000000000,0,0,1
9,0,12132262700000,250800,0.0792344,12.6208,0,0,0,4000000000,0,0,1
9,0,12132262800000,251200,0.0791083,12.6409,0,0,0,4000000000,0,0,1
9,0,12132262900000,251600,0.0789825,12.661,0,0,0,4000000000,0,0,1
9,0,12132263000000,252000,0.0788571,12.6812,0,0,0,4000000000,0,0,1
9,0,12132263100000,252400,0.0787322,12.7013,0,0,0,4000000000,0,0,1
9,0,12132263200000,252800,0.0789913,12.6596,4.12371,2.35225e+08,9.7e+08,4000000000,0.2425,24.25,1
9,0,12132263300000,253200,0.0795103,12.577,2.45399,6.64225e+08,1.63e+09,4000000000,0.4075,40.75,1
9,0,12132263400000,253600,0.079858,12.5222,3.33333,3.6e+08,1.2e+09,4000000000,0.3,30,1
9,0,12132263500000,254000,0.0802205,12.4656,3.22581,3.844e+08,1.24e+09,4000000000,0.31,31,1
9,0,12132263600000,254400,0.0805031,12.4219,3.84615,2.704e+08,1.04e+09,4000000000,0.26,26,1
9,0,12132263700000,254800,0.0803768,12.4414,0,0,0,4000000000,0,0,1
